County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Stanly,37167,0.0037,0.0017,0.0017,0.0017,North Carolina,2026-05-03
Stokes,37169,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Surry,37171,0.0001,0.0001,0.0001,0.0001,North Carolina,2026-05-03
Swain,37173,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Transylvania,37175,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Tyrrell,37177,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Union,37179,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Vance,37181,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Wake,37183,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Warren,37185,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Washington,37187,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Watauga,37189,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Wayne,37191,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Wilkes,37193,0.001,0.0007,0.0007,0.0007,North Carolina,2026-05-03
Wilson,37195,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Yadkin,37197,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
Yancey,37199,0.0,0.0,0.0,0.0,North Carolina,2026-05-03
