County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Menard,17129.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Mercer,17131.0,0.0011,0.0013,0.0013,0.0013,Illinois,2026-05-21
Monroe,17133.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Montgomery,17135.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Morgan,17137.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Moultrie,17139.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Ogle,17141.0,0.0002,0.0002,0.0002,0.0002,Illinois,2026-05-21
Peoria,17143.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Perry,17145.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Piatt,17147.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Pike,17149.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Pope,17151.0,0.0,0.0,0.0,0.0,Illinois,2026-05-21
Pulaski,17153.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Putnam,17155.0,0.0886,0.0443,0.0443,0.0443,Illinois,2026-05-21
Randolph,17157.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Richland,17159.0,0.0009,0.0004,0.0004,0.0004,Illinois,2026-05-21
Rock Island,17161.0,0.0027,0.0004,0.0005,0.0005,Illinois,2026-05-21
Saline,17165.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Sangamon,17167.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Schuyler,17169.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Scott,17171.0,0.0001,0.0001,0.0001,0.0001,Illinois,2026-05-21
Shelby,17173.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
St. Clair,17163.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Stark,17175.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Stephenson,17177.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Tazewell,17179.0,0.0036,0.0031,0.0031,0.0031,Illinois,2026-05-21
Union,17181.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Vermilion,17183.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Wabash,17185.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Warren,17187.0,0.0001,0.0001,0.0001,0.0001,Illinois,2026-05-21
Washington,17189.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Wayne,17191.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
White,17193.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Whiteside,17195.0,0.0026,0.0035,0.0035,0.0035,Illinois,2026-05-21
Will,17197.0,0.0006,0.0004,0.0005,0.0006,Illinois,2026-05-21
Williamson,17199.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
Winnebago,17201.0,0.0005,0.0006,0.0006,0.0006,Illinois,2026-05-21
Woodford,17203.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-05-21
