County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Stark,17175.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-04-16
Stephenson,17177.0,0.0092,0.0133,0.0133,0.0133,Illinois,2026-04-16
Tazewell,17179.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-04-16
Union,17181.0,0.002,0.0027,0.0027,0.0027,Illinois,2026-04-16
Vermilion,17183.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-04-16
Wabash,17185.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-04-16
Warren,17187.0,0.0004,0.0002,0.0002,0.0002,Illinois,2026-04-16
Washington,17189.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-04-16
Wayne,17191.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-04-16
White,17193.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-04-16
Whiteside,17195.0,0.0022,0.0015,0.0015,0.0015,Illinois,2026-04-16
Will,17197.0,0.0001,0.0002,0.0002,0.0002,Illinois,2026-04-16
Williamson,17199.0,0.0004,0.0004,0.0004,0.0004,Illinois,2026-04-16
Winnebago,17201.0,0.0046,0.0021,0.0027,0.0033,Illinois,2026-04-16
Woodford,17203.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-04-16
